YEAR,DV,IV1,IV2,IV3,IV4,IV5
1996,92.35948804,3.4886,10,8399.3,2.117230719,5.078414948
1997,93.29441408,2.6625,7.3,8569.2,1.891707387,5.136514576
1998,83.52935181,5.2703,-7.4,8599.6,1.314706565,2.163401816
1999,96.01605263,2.7446,6.1,8837.8,1.580606198,3.895263158
2000,112.3692105,1.5347,8.7,9269.2,2.119320865,3.787631579
2001,102.4357895,1.4168,0.5,9357,1.3818706,0.553947368
2002,109.2210526,1.8079,5.4,9542.6,1.201035014,3.192894737
2003,117.8542105,1.0897,5.8,9869.7,1.781448891,3.218947368
2004,143.9276316,1.4213,6.8,9979.5,2.220649262,4.376052632
2005,162.0488755,2.9751,5,10045.4,2.587073319,3.924786635
2006,182.5170923,3.6092,5.6,10275.4,2.725957179,7.690731246
2007,205.4882389,2.0274,6.3,10538.1,2.440230491,9.071369835
2008,229.6565805,5.4408,4.8,10659.6,2.461433672,7.572512432
2009,184.8972749,0.5833,-1.5,10897.3,1.081780905,0.114664435
2010,221.6875856,1.6229,7.5,11899.5,1.652879448,10.88580185
2011,254.0200124,3.1745,5.3,12351.5,1.542795715,15.1194392
2012,249.3530661,1.6636,5.5,12820.5,1.297784929,8.895774251
2013,244.4907168,2.105,4.7,13545.4,1.237558688,11.29627951
2014,249.4707992,3.143,6,13852.6,1.152767131,10.61943158
2015,209.2872879,2.1044,5,14067.7,0.628018448,9.857162112
2016,201.1650586,2.0906,4.4,14163.7,0.578765831,13.47008992
2017,223.4138373,3.8712,5.8,14476.8,0.762573366,9.368469823
2018,245.9675906,0.8847,5.8,14776,0.99118985,8.304480742
2019,238.3798613,0.6629,4.4,15073.4,0.623582038,9.154921685
2020,207.7985404,-1.1387,-5.5,14956.7,0.483258128,4.058769679
2021,264.0156421,2.4771,3.3,15064.2,1.184777919,20.24515733
